,,Quiz1,Quiz1.1,Mid Sem,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Part1 Total,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Part2 Total,CBT Total,Matched ID,Match Status,Folder Name
,,,,5,2,2.5,0,2.5,1.5,1.5,2.5,12.5,2,2,0,0,1,1,0,6,18.5,2023A7PS0558P,Green,1207
,,,,0,2,2,0,1.5,3,3,2.5,14,3,1.5,0,0,0,0,0,4.5,18.5,2023A7PS0524P,Green,1278
,,,,6,2,4,2,0,2,4,4,18,0,0,0,0,0,0,0,0,18,2023A7PS0541P,Green,1052
,,,,19.5,2,5,1,4,2,2,0,16,0,0,0,0,0,2,0,2,18,2022A3PS1217P,Green,1109
,,,,0,2,1,1,1,4,4,5,18,0,0,0,0,0,0,0,0,18,2023A7PS0575P,Green,1129
,,,,6,0,2.5,1.5,0,0,0,0,4,5,4,1,1,1,1,1,14,18,2023A7PS0608P,Green,1164
,,,,11,2,2.5,0,4,4,5,0,17.5,0,0,0,0,0,0,0,0,17.5,2023A7PS0632P,Yellow,1292
,,,,4,1,4,1,2,1,2,1,12,1,1.5,0,2,1,0,0,5.5,17.5,2023A7PS0589P,Green,1246
,,,,7,2,9,0,4,2,0,0,17,0,0,0,0,0,0,0,0,17,2022B3A70551P,Green,1070
,,,,4,2,3,0,2,2,1,2,12,2,3,0,0,0,0,0,5,17,2023A7PS0624P,Green,1154
,,,,1.5,0,3,0,2,0,2,4,11,2,2,0,0,1,1,0,6,17,2023A7PS0553P,Green,1200
,,,,0,2,5,2,1,2,3,2,17,0,0,0,0,0,0,0,0,17,2022A3PS0458P,Green,1217
,,,,12.5,2,3.5,2,0,0,1,0,8.5,3,2,0,0,2,1,0,8,16.5,2022A3PS0381P,Yellow,1297
,,,,0,2,1,0,0,4.5,4.5,4,16,0,0,0,0,0,0,0,0,16,2023A7PS0543P,Yellow,1293
,,,,15.5,2,3,2,3,0,0,0,10,2,3,0,0,1,0,0,6,16,2023A7PS0507P,Green,1210
,,,,3,0,2,1.5,1,1.5,1.5,,7.5,3,2,1,0,1,1,0,8,15.5,2023A7PS0573P,Yellow,1299
